City,Male,Female
Türkiye,56.1,61.9
Adana ,50.5,55.5
Adiyaman ,64.2,65.8
Afyonkarahisar,69.8,82.7
Agri,54.2,66.1
Amasya,60.2,71.5
Ankara,52.8,59.5
Antalya,45.3,54.3
Artvin,57.5,67.9
Aydin,49,57.8
Balikesir,68.5,72.8
Bilecik,59.5,67.5
Bingöl,54.9,63.9
Bitlis,56.5,61.7
Bolu,67.4,72.8
Burdur,54.4,59.1
Bursa,59.4,62.7
Canakkale,61.3,65.9
Cankiri,72.5,74.4
Corum,54.1,58.9
Denizli,54.1,59.3
Diyarbakir,43.9,53.3
Edirne,48.7,59.3
Elazig,48.4,54.8
Erzincan,66.7,62.5
Erzurum,63.1,68.2
Eskisehir,59.6,65.7
Gaziantep,57.1,59.1
Giresun,61.5,69.3
Gümüshane,60,62.1
Hakkari,68.1,73
Hatay,45.7,54.8
Isparta,68.4,72.3
Mersin,50.1,55.5
Istanbul,55.8,60.9
Izmir,57,59.5
Kars,52.3,60.8
Kastamonu,54.2,65.3
Kayseri,55.4,60.7
Kiriklareli,45.4,61
Kirsehir,67.1,67.3
Kocaeli,56.2,58.2
Konya,60.4,70.5
Kütahya,68.6,78.7
Malatya,49.1,58.5
Manisa,64.7,63.2
Kahramanmara?,67.1,69.3
Mardin,49,54.1
Mugla,48,56.8
Mus,49.9,59.4
Nevsehir,59.7,69.1
Nigde,63.9,66
Ordu,54.1,62.1
Rize,55.7,67.1
Sakarya,66,73.2
Samsun,58.2,63.7
Siirt,67.9,75.4
Sinop,76.9,78.4
Sivas,56.9,62
Tekirdag,54,59.1
Tokat,51.9,66.4
Trabzon,54.5,60.5
Tunceli,40.6,43.4
Sanliurfa,53.7,60.8
Usak,72.4,72.3
Van,53.5,63.9
Yozgat,55,66.2
Zonguldak,47.5,54.5
Aksaray,66.5,69.1
Bayburt,78.9,72.9
Karaman,57.9,68
Kirikkale,73.4,77.5
Batman,47.9,56.4
S?rnak,70.5,72.2
Bartin,57.9,62.7
Ardahan,54.9,66.7
Igdir,61.7,57.5
Yalova,63.2,64.2
Karabük,52.3,60.3
Kilis,61,60.7
Osmaniye,42.6,48.9
Düzce,73.72,71.84
